Flight_ID,Airline,Distance_km,Departure_Delay_min,Arrival_Delay_min,Delay_Status,Delay Difference,Distance Category , Performance Label
1,Indigo,7609,4,155,Delayed,151,Long Haul,Poor
2,Emirates,11735,148,65,Delayed,-83,Long Haul,Poor
3,Delta,3555,176,72,Delayed,-104,Medium Long,Poor
4,Indigo,7539,25,154,OnTime,129,Long Haul,Poor
5,Emirates,11483,150,76,OnTime,-74,Long Haul,Poor
6,Emirates,5961,81,153,Delayed,72,Medium Long,Poor
7,Emirates,8019,65,67,Delayed,2,Long Haul,Poor
8,Indigo,9427,10,99,OnTime,89,Long Haul,Poor
9,Delta,2031,5,97,OnTime,92,Short Haul,Poor
10,Delta,3778,92,144,OnTime,52,Medium Long,Poor
11,Delta,1317,99,152,OnTime,53,Short Haul,Poor
12,Emirates,7635,144,46,OnTime,-98,Long Haul,Poor
13,Delta,6438,90,195,OnTime,105,Medium Long,Poor
14,Indigo,6910,139,49,OnTime,-90,Medium Long,Poor
15,Delta,11184,171,56,OnTime,-115,Long Haul,Poor
16,Lufthansa,8702,108,81,Delayed,-27,Long Haul,Poor
17,Indigo,7982,95,168,Delayed,73,Long Haul,Poor
18,Emirates,6978,8,103,Delayed,95,Medium Long,Poor
19,Emirates,1608,121,93,Delayed,-28,Short Haul,Poor
20,Delta,2844,17,114,OnTime,97,Short Haul,Poor
21,Emirates,8299,6,191,OnTime,185,Long Haul,Poor
22,Emirates,5690,127,78,Delayed,-49,Medium Long,Poor
23,Lufthansa,4450,129,82,Delayed,-47,Medium Long,Poor
24,Lufthansa,4202,143,50,OnTime,-93,Medium Long,Poor
25,Delta,3917,42,67,Delayed,25,Medium Long,Poor
26,Emirates,1347,7,198,Delayed,191,Short Haul,Poor
27,Indigo,7859,118,153,Delayed,35,Long Haul,Poor
28,Emirates,729,175,156,OnTime,-19,Short Haul,Poor
29,Delta,6913,97,28,OnTime,-69,Medium Long,Good
30,Delta,2789,103,5,Delayed,-98,Short Haul,Good
31,Indigo,5498,39,103,Delayed,64,Medium Long,Poor
32,Lufthansa,9252,133,38,OnTime,-95,Long Haul,Poor
33,Indigo,9502,168,129,Delayed,-39,Long Haul,Poor
34,Delta,10952,143,100,Delayed,-43,Long Haul,Poor
35,Delta,1285,144,104,Delayed,-40,Short Haul,Poor
36,Delta,2156,89,11,OnTime,-78,Short Haul,Good
37,Delta,851,61,155,Delayed,94,Short Haul,Poor
38,Delta,2354,149,6,Delayed,-143,Short Haul,Good
39,Emirates,11108,157,148,OnTime,-9,Long Haul,Poor
40,Emirates,11828,19,116,OnTime,97,Long Haul,Poor
41,Delta,4727,23,113,Delayed,90,Medium Long,Poor
42,Indigo,10594,115,81,OnTime,-34,Long Haul,Poor
43,Emirates,11103,95,69,Delayed,-26,Long Haul,Poor
44,Delta,11979,157,161,OnTime,4,Long Haul,Poor
45,Emirates,9432,19,95,Delayed,76,Long Haul,Poor
46,Emirates,9168,168,58,Delayed,-110,Long Haul,Poor
47,Lufthansa,8391,124,162,Delayed,38,Long Haul,Poor
48,Indigo,3654,136,158,OnTime,22,Medium Long,Poor
49,Emirates,8161,53,65,Delayed,12,Long Haul,Poor
50,Lufthansa,1483,87,169,Delayed,82,Short Haul,Poor
51,Indigo,1567,40,83,Delayed,43,Short Haul,Poor
52,Indigo,8303,60,197,OnTime,137,Long Haul,Poor
53,Indigo,3325,162,39,Delayed,-123,Medium Long,Poor
54,Emirates,7106,8,149,OnTime,141,Long Haul,Poor
55,Indigo,1065,101,151,OnTime,50,Short Haul,Poor
56,Emirates,11910,156,192,Delayed,36,Long Haul,Poor
57,Delta,6116,60,184,OnTime,124,Medium Long,Poor
58,Delta,5303,53,100,OnTime,47,Medium Long,Poor
59,Delta,7450,145,103,Delayed,-42,Long Haul,Poor
60,Lufthansa,10263,61,61,OnTime,0,Long Haul,Poor
61,Emirates,7003,35,78,Delayed,43,Long Haul,Poor
62,Lufthansa,5825,12,167,OnTime,155,Medium Long,Poor
63,Indigo,11793,28,90,OnTime,62,Long Haul,Poor
64,Delta,6710,16,109,OnTime,93,Medium Long,Poor
65,Emirates,9396,46,118,OnTime,72,Long Haul,Poor
66,Indigo,7039,33,135,Delayed,102,Long Haul,Poor
67,Emirates,2029,53,144,Delayed,91,Short Haul,Poor
68,Emirates,651,87,63,Delayed,-24,Short Haul,Poor
69,Indigo,2342,14,54,OnTime,40,Short Haul,Poor
70,Delta,3719,45,56,OnTime,11,Medium Long,Poor
71,Lufthansa,6543,136,158,OnTime,22,Medium Long,Poor
72,Delta,439,125,122,OnTime,-3,Short Haul,Poor
73,Lufthansa,1065,149,117,Delayed,-32,Short Haul,Poor
74,Delta,11052,36,121,Delayed,85,Long Haul,Poor
75,Lufthansa,4038,88,92,OnTime,4,Medium Long,Poor
76,Delta,6532,148,78,OnTime,-70,Medium Long,Poor
77,Delta,3024,175,191,Delayed,16,Medium Long,Poor
78,Delta,7908,109,23,OnTime,-86,Long Haul,Good
79,Emirates,1506,60,194,Delayed,134,Short Haul,Poor
80,Indigo,4770,91,179,Delayed,88,Medium Long,Poor
81,Indigo,5038,88,160,OnTime,72,Medium Long,Poor
82,Emirates,1693,36,125,OnTime,89,Short Haul,Poor
83,Emirates,4531,49,71,OnTime,22,Medium Long,Poor
84,Indigo,8919,100,27,Delayed,-73,Long Haul,Good
85,Delta,3922,177,92,Delayed,-85,Medium Long,Poor
